Format Version,1.24,Take Name,pinkFly09_Fuschia,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-04-11 06.53.09.481 PM,Capture Start Frame,442888,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider:Marker 001,V3Glider:Marker 001,V3Glider:Marker 001,V3Glider:Marker 002,V3Glider:Marker 002,V3Glider:Marker 002,V3Glider:Marker 003,V3Glider:Marker 003,V3Glider:Marker 003,V3Glider:Marker 004,V3Glider:Marker 004,V3Glider:Marker 004,V3Glider:Marker 005,V3Glider:Marker 005,V3Glider:Marker 005
,ID,C40F0855F84F11EEBD9122A53CA86A8A,C40F0855F84F11EEBD9122A53CA86A8A,C40F0855F84F11EEBD9122A53CA86A8A,C40F0855F84F11EEBD9122A53CA86A8A,C40F0855F84F11EEBD9122A53CA86A8A,C40F0855F84F11EEBD9122A53CA86A8A,"1FF4D40BF85811EEBD9122A53CA86B8A","1FF4D40BF85811EEBD9122A53CA86B8A","1FF4D40BF85811EEBD9122A53CA86B8A","1FF4D40CF85811EEBD9122A53CA86B8A","1FF4D40CF85811EEBD9122A53CA86B8A","1FF4D40CF85811EEBD9122A53CA86B8A","1FF4D409F85811EEBD9122A53CA86B8A","1FF4D409F85811EEBD9122A53CA86B8A","1FF4D409F85811EEBD9122A53CA86B8A","1FF4D40AF85811EEBD9122A53CA86B8A","1FF4D40AF85811EEBD9122A53CA86B8A","1FF4D40AF85811EEBD9122A53CA86B8A","1FF4D408F85811EEBD9122A53CA86B8A","1FF4D408F85811EEBD9122A53CA86B8A","1FF4D408F85811EEBD9122A53CA86B8A"
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,177.590668,-3.655664,-174.848724,2712.404541,1467.901855,-64.735909,2883.769043,1459.038086,-94.236214,2901.742920,1464.782593,-66.003990,2687.179443,1450.598389,-203.361450,2705.997070,1461.961670,63.766464,2710.981445,1470.752930,-66.919861
1,0.004167,177.563248,-3.588605,-174.801453,2710.997559,1467.635742,-64.630188,2882.593750,1458.617920,-93.900764,2900.414551,1464.244141,-65.654182,2686.057129,1450.335205,-203.258499,2704.643311,1461.825195,63.770981,2709.428223,1470.416260,-66.773071
2,0.008333,177.588593,-3.467859,-174.685730,2709.617188,1467.398438,-64.569992,2881.173584,1458.113159,-93.548004,2898.917969,1463.652466,-65.249352,2684.926514,1450.127563,-203.228439,2702.813965,1461.484253,64.002975,2708.226562,1470.293335,-66.851143
3,0.012500,177.507797,-3.462558,-174.507996,2708.169434,1467.202026,-64.527374,2879.561279,1457.341797,-93.223320,2897.303467,1462.968994,-64.865852,2683.463135,1449.825195,-203.165375,2701.405273,1461.530396,63.871986,2706.841309,1470.066284,-66.709389
4,0.016667,177.524261,-3.338480,-174.398499,2706.644287,1466.960938,-64.471680,2877.997559,1456.803101,-92.881554,2895.831787,1462.414673,-64.599586,2682.301514,1449.654785,-203.216843,2699.633789,1461.294312,63.984394,2705.246582,1469.806885,-66.604851
5,0.020833,177.531158,-3.199187,-174.333099,2704.851807,1466.656372,-64.288017,2876.469971,1456.281006,-92.472786,2894.176758,1461.818237,-64.133972,2680.852295,1449.373779,-203.073349,2697.425537,1461.000732,64.250046,2703.402100,1469.489746,-66.447884
6,0.025000,177.481125,-3.142250,-174.218994,2703.122314,1466.377197,-64.118523,2874.687012,1455.651978,-91.916496,2892.441895,1461.174072,-63.632027,2679.234619,1449.050415,-202.913406,2695.749512,1460.892212,64.284294,2701.627686,1469.151489,-66.271935
7,0.029167,177.492584,-3.051692,-174.068970,2701.400879,1466.141968,-63.994282,2872.988770,1454.988281,-91.589752,2890.566650,1460.460693,-63.198730,2677.694092,1448.839844,-202.839188,2693.660645,1460.625366,64.477219,2700.031006,1468.990234,-66.154121
8,0.033333,177.451340,-2.991389,-173.977905,2699.516357,1465.854614,-63.823864,2871.162842,1454.395996,-91.122894,2888.736816,1459.810669,-62.671749,2675.963379,1448.544434,-202.681046,2691.861328,1460.526245,64.517502,2698.023926,1468.581543,-65.954506
9,0.037500,177.470139,-2.900236,-173.807053,2697.648193,1465.625488,-63.637012,2869.296875,1453.766235,-90.753609,2886.808350,1459.078003,-62.373852,2674.141846,1448.311279,-202.581329,2689.403076,1460.238159,64.879601,2696.381592,1468.444702,-65.841370
10,0.041667,177.437057,-2.932756,-173.650085,2695.745361,1465.316162,-63.399925,2867.133057,1452.996948,-90.229950,2884.831787,1458.422363,-62.003925,2672.114014,1448.011963,-202.231323,2687.584717,1460.033936,64.953873,2694.492676,1468.168213,-65.657646
11,0.045833,177.493454,-2.870476,-173.596893,2693.654541,1465.002441,-63.084080,2865.343018,1452.463745,-89.938011,2882.807861,1457.809082,-61.467979,2670.130127,1447.837036,-201.896759,2685.261719,1459.600586,65.265709,2692.407959,1467.871826,-65.396431
12,0.050000,177.537064,-2.744022,-173.483032,2691.495850,1464.771240,-62.777466,2863.235352,1451.845093,-89.513527,2880.741943,1457.157471,-60.956989,2668.482422,1447.757446,-201.741196,2682.982422,1459.319702,65.744720,2690.072021,1467.601807,-64.975777
13,0.054167,177.522308,-2.740101,-173.343811,2689.364502,1464.474121,-62.445831,2860.987061,1451.125366,-89.007935,2878.548096,1456.450317,-60.473610,2666.285889,1447.455811,-201.516602,2680.991211,1459.103271,65.868263,2687.912842,1467.292480,-64.511345
14,0.058333,177.560928,-2.748224,-173.226562,2687.261963,1464.155762,-62.163952,2858.868896,1450.564575,-88.566185,2876.299561,1455.662476,-60.041992,2664.090576,1447.285522,-201.104996,2678.777588,1458.709961,66.091194,2685.915039,1467.007080,-64.345016
15,0.062500,177.605850,-2.716369,-173.127899,2684.947021,1463.815308,-61.743900,2856.574219,1449.895020,-88.150764,2874.043213,1455.020630,-59.517426,2661.896240,1447.136475,-200.738785,2676.450684,1458.386841,66.481430,2683.532227,1466.519165,-63.831924
16,0.066667,177.631577,-2.750854,-172.974503,2682.677002,1463.477051,-61.264076,2854.125244,1449.112183,-87.651993,2871.844482,1454.385986,-59.137486,2659.330078,1446.811401,-200.275452,2674.014893,1457.913940,66.998169,2681.415039,1466.378296,-63.461571
17,0.070833,177.710587,-2.702515,-172.914612,2680.307129,1463.116943,-60.870445,2851.952881,1448.653076,-87.283318,2869.302979,1453.523315,-58.703533,2657.152344,1446.646118,-199.901520,2671.512939,1457.395752,67.450951,2679.031006,1466.028564,-63.049458
18,0.075000,177.767761,-2.693326,-172.776627,2677.792725,1462.669189,-60.390026,2849.158203,1447.843506,-86.782112,2866.906494,1452.877930,-58.313828,2654.714111,1446.433716,-199.458496,2668.971436,1456.918823,68.017059,2676.470947,1465.471191,-62.558987
19,0.079167,177.802628,-2.662990,-172.716125,2675.226074,1462.307983,-59.916080,2846.757568,1447.255981,-86.316216,2864.272461,1452.118408,-57.585415,2652.252686,1446.156006,-198.975296,2666.387695,1456.446411,68.538536,2673.916748,1465.178833,-62.121624
20,0.083333,177.803131,-2.692003,-172.615875,2672.664551,1461.932495,-59.387363,2844.162842,1446.588135,-85.765152,2861.653076,1451.376465,-57.157459,2649.600586,1445.818848,-198.472351,2663.979492,1456.118652,68.913574,2671.279785,1464.785400,-61.493214
21,0.087500,177.810944,-2.643966,-172.489044,2669.967773,1461.537964,-58.844902,2841.403076,1445.810059,-85.056053,2858.971924,1450.673096,-56.430908,2647.034668,1445.534790,-197.892395,2661.141602,1455.792236,69.484047,2668.580566,1464.301270,-61.002193
22,0.091667,177.856674,-2.635051,-172.425110,2667.248779,1461.148438,-58.183640,2838.797119,1445.262329,-84.364548,2856.201416,1449.988647,-55.756603,2644.241699,1445.260986,-197.281265,2658.314453,1455.335938,70.056030,2665.914062,1463.888672,-60.276501
23,0.095833,177.838913,-2.608946,-172.286713,2664.423584,1460.701538,-57.594513,2835.662109,1444.433228,-83.550125,2853.395508,1449.303589,-55.013321,2641.445557,1444.786621,-196.737350,2655.449951,1454.906128,70.688881,2663.115234,1463.529785,-59.735508
24,0.100000,177.839706,-2.571271,-172.210617,2661.563721,1460.324951,-56.996258,2832.944580,1443.854492,-82.870354,2850.361572,1448.495728,-54.255905,2638.662109,1444.407837,-196.123413,2652.447021,1454.517578,71.285019,2660.312256,1463.207886,-59.148853
25,0.104167,177.854507,-2.488047,-172.068634,2658.586182,1459.953613,-56.411896,2829.856689,1443.010376,-82.085556,2847.441162,1447.848511,-53.498871,2635.946533,1444.126587,-195.547653,2649.281982,1454.140625,71.907867,2657.264648,1462.862793,-58.586208
26,0.108333,177.849014,-2.415169,-172.041107,2655.466797,1459.496948,-55.680672,2826.971191,1442.457397,-81.242897,2844.426758,1447.161011,-52.473114,2632.878662,1443.634399,-194.901016,2645.870117,1453.729370,72.626289,2654.214844,1462.360840,-57.827095
27,0.112500,177.901062,-2.326820,-171.891403,2652.315186,1459.093872,-54.964939,2823.663574,1441.674316,-80.123077,2841.201660,1446.381104,-51.633518,2630.020996,1443.438721,-194.194687,2642.639648,1453.254272,73.265060,2650.942383,1461.962524,-57.098534
28,0.116667,177.901733,-2.247911,-171.847824,2649.053223,1458.588623,-54.203926,2820.545410,1441.014526,-79.099915,2837.966553,1445.666870,-50.473270,2626.880371,1442.977173,-193.497742,2639.288330,1452.807007,73.980751,2647.691895,1461.352539,-56.347942
29,0.120833,177.997269,-2.134824,-171.706009,2645.804688,1458.244995,-53.454044,2817.325928,1440.333008,-78.212082,2834.601807,1444.911621,-49.389595,2623.708008,1442.766113,-192.862747,2635.390137,1452.171509,74.908783,2644.717529,1461.204956,-55.702713
30,0.125000,178.000885,-2.083310,-171.612640,2642.467041,1457.880981,-52.794712,2814.000000,1439.696167,-77.128624,2831.103271,1444.150635,-48.312519,2620.580078,1442.548218,-192.118881,2632.163818,1451.879639,75.352455,2641.284180,1460.739014,-55.023857
31,0.129167,178.106796,-1.894666,-171.509979,2638.863037,1457.423828,-51.925308,2810.396973,1438.916382,-76.048363,2827.739746,1443.502075,-47.245144,2617.529541,1442.320312,-191.439240,2627.922363,1451.210205,76.361092,2637.608154,1460.334106,-54.023804
32,0.133333,178.180420,-1.778024,-171.449982,2635.308350,1457.055420,-51.127934,2806.980713,1438.407349,-74.764473,2824.052246,1442.860596,-45.954823,2614.168457,1442.175171,-190.660660,2624.276611,1450.684692,77.025139,2634.048096,1459.951904,-53.333012
33,0.137500,178.220078,-1.707892,-171.362656,2631.645752,1456.576172,-50.304131,2803.144043,1437.685059,-73.680054,2820.470459,1442.216553,-44.776024,2610.704102,1441.837769,-189.910828,2620.524170,1450.160889,77.708282,2630.324219,1459.453491,-52.387592
34,0.141667,178.308105,-1.593088,-171.235672,2627.937744,1456.279053,-49.560341,2799.495361,1437.161987,-72.528992,2816.506348,1441.374878,-43.572323,2607.172119,1441.777588,-189.139954,2616.356445,1449.677856,78.490379,2626.818115,1459.193237,-51.794346
35,0.145833,178.443619,-1.411726,-171.176193,2624.029053,1455.850952,-48.771976,2795.635986,1436.560425,-71.447845,2812.806641,1440.869873,-42.516510,2603.732422,1441.669922,-188.521988,2611.915039,1448.952148,79.474319,2622.916992,1458.763916,-50.998226
36,0.150000,178.493546,-1.333017,-171.129654,2620.055908,1455.491821,-47.869026,2791.774658,1436.062744,-70.271240,2808.706299,1440.217407,-41.322983,2599.976807,1441.442627,-187.691193,2608.004883,1448.486450,80.162163,2618.798584,1458.435913,-50.000572
37,0.154167,178.560440,-1.280339,-171.022751,2616.185059,1455.185913,-47.119976,2787.775635,1435.488892,-69.156548,2804.696533,1439.727173,-40.065742,2596.069336,1441.346436,-186.909149,2603.895996,1448.043335,80.816559,2615.122803,1458.147461,-49.374054
38,0.158333,178.645935,-1.163549,-171.015244,2611.970459,1454.824463,-46.269287,2783.817139,1435.128296,-68.152313,2800.434570,1439.099121,-39.011272,2592.269531,1441.238281,-186.120667,2599.515625,1447.574585,81.655464,2610.741455,1457.674072,-48.435917
39,0.162500,178.707962,-1.055337,-170.933167,2607.757812,1454.468262,-45.422256,2779.347900,1434.573853,-67.040291,2796.404297,1438.763306,-37.925900,2588.217529,1440.976440,-185.425201,2594.885986,1447.025269,82.565010,2606.656738,1457.434326,-47.590355
40,0.166667,178.717789,-1.065184,-170.876068,2603.461182,1454.246582,-44.607582,2775.141846,1434.243652,-66.064674,2791.833496,1438.188599,-36.990276,2583.839844,1440.798584,-184.475311,2590.580078,1446.763062,83.276184,2602.440430,1457.294189,-46.887039
41,0.170833,178.765549,-0.936243,-170.816498,2599.076904,1453.944946,-43.861927,2770.767090,1433.723022,-65.103760,2787.529297,1437.771606,-35.928123,2579.879883,1440.678711,-183.786713,2585.938477,1446.431152,84.065109,2597.967285,1456.879395,-46.096115
42,0.175000,178.730270,-0.897198,-170.835617,2594.481445,1453.612671,-43.014439,2766.360840,1433.402954,-64.049240,2782.942383,1437.373901,-34.827320,2575.390869,1440.296875,-182.968552,2581.476562,1446.212036,84.795540,2593.190186,1456.488525,-45.211586
43,0.179167,178.764481,-0.814374,-170.716721,2589.946533,1453.416870,-42.159500,2761.568359,1432.912720,-63.049221,2778.175293,1436.837280,-33.858662,2570.903809,1440.139038,-182.147583,2576.300537,1445.877075,85.796234,2588.826660,1456.462769,-44.359520
44,0.183333,178.711914,-0.760940,-170.733810,2585.117920,1453.151245,-41.327579,2757.043457,1432.607422,-62.147236,2773.677490,1436.592041,-32.940540,2566.380859,1439.766357,-181.406891,2571.690918,1445.801392,86.581749,2583.795898,1456.069092,-43.446617
