Format Version,1.24,Take Name,V1_6pm_throw_level,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-04-09 06.24.17.638 PM,Capture Start Frame,7766412,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V1Glider,V1Glider,V1Glider,V1Glider,V1Glider,V1Glider,V1Glider:M0,V1Glider:M0,V1Glider:M0,V1Glider:M1,V1Glider:M1,V1Glider:M1,V1Glider:M2,V1Glider:M2,V1Glider:M2,V1Glider:M3,V1Glider:M3,V1Glider:M3,V1Glider:M4,V1Glider:M4,V1Glider:M4
,ID,179E6880EAE411EEBD9122A53CA8668A,179E6880EAE411EEBD9122A53CA8668A,179E6880EAE411EEBD9122A53CA8668A,179E6880EAE411EEBD9122A53CA8668A,179E6880EAE411EEBD9122A53CA8668A,179E6880EAE411EEBD9122A53CA8668A,"E6C71FEEF6BF11EEBD9122A53CA8688A","E6C71FEEF6BF11EEBD9122A53CA8688A","E6C71FEEF6BF11EEBD9122A53CA8688A","E6C71FECF6BF11EEBD9122A53CA8688A","E6C71FECF6BF11EEBD9122A53CA8688A","E6C71FECF6BF11EEBD9122A53CA8688A","E6C71FEDF6BF11EEBD9122A53CA8688A","E6C71FEDF6BF11EEBD9122A53CA8688A","E6C71FEDF6BF11EEBD9122A53CA8688A","E6C71FEFF6BF11EEBD9122A53CA8688A","E6C71FEFF6BF11EEBD9122A53CA8688A","E6C71FEFF6BF11EEBD9122A53CA8688A","E6C71FF0F6BF11EEBD9122A53CA8688A","E6C71FF0F6BF11EEBD9122A53CA8688A","E6C71FF0F6BF11EEBD9122A53CA8688A"
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
1,0.004167,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
2,0.008333,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
3,0.012500,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
4,0.016667,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
5,0.020833,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
6,0.025000,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
7,0.029167,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
8,0.033333,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
9,0.037500,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
10,0.041667,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
11,0.045833,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
12,0.050000,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
13,0.054167,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
14,0.058333,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
15,0.062500,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
16,0.066667,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
17,0.070833,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
18,0.075000,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
19,0.079167,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
20,0.083333,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
21,0.087500,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
22,0.091667,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
23,0.095833,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
24,0.100000,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
25,0.104167,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
26,0.108333,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
27,0.112500,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
28,0.116667,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
29,0.120833,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
30,0.125000,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
31,0.129167,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
32,0.133333,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
33,0.137500,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
34,0.141667,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
35,0.145833,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
36,0.150000,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
37,0.154167,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
38,0.158333,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
39,0.162500,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
40,0.166667,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
41,0.170833,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
42,0.175000,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
43,0.179167,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
44,0.183333,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
45,0.187500,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
46,0.191667,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
47,0.195833,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
48,0.200000,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
49,0.204167,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
50,0.208333,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
51,0.212500,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
52,0.216667,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
53,0.220833,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
54,0.225000,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
55,0.229167,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
56,0.233333,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
57,0.237500,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
58,0.241667,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
59,0.245833,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
60,0.250000,152.867859,34.127445,160.784882,3453.468506,1202.988525,17.878403,,,,,,,,,,,,,,,
