Format Version,1.24,Take Name,V3_6pm_throw_stall_3,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-04-09 06.42.13.962 PM,Capture Start Frame,8027196,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider:M0,V3Glider:M0,V3Glider:M0,V3Glider:M1,V3Glider:M1,V3Glider:M1,V3Glider:M2,V3Glider:M2,V3Glider:M2,V3Glider:M3,V3Glider:M3,V3Glider:M3,V3Glider:M4,V3Glider:M4,V3Glider:M4,V3Glider:M5,V3Glider:M5,V3Glider:M5
,ID,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,"68511E8DF6C211EEBD9122A53CA8688A","68511E8DF6C211EEBD9122A53CA8688A","68511E8DF6C211EEBD9122A53CA8688A","68511E8CF6C211EEBD9122A53CA8688A","68511E8CF6C211EEBD9122A53CA8688A","68511E8CF6C211EEBD9122A53CA8688A","68511E8AF6C211EEBD9122A53CA8688A","68511E8AF6C211EEBD9122A53CA8688A","68511E8AF6C211EEBD9122A53CA8688A","68511E8BF6C211EEBD9122A53CA8688A","68511E8BF6C211EEBD9122A53CA8688A","68511E8BF6C211EEBD9122A53CA8688A","68511E8FF6C211EEBD9122A53CA8688A","68511E8FF6C211EEBD9122A53CA8688A","68511E8FF6C211EEBD9122A53CA8688A","68511E8EF6C211EEBD9122A53CA8688A","68511E8EF6C211EEBD9122A53CA8688A","68511E8EF6C211EEBD9122A53CA8688A"
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,178.696487,14.200015,141.269989,3721.016357,635.519836,-303.230865,3709.245361,651.324341,-305.358276,3673.356445,593.996521,-343.876068,3734.691162,628.963928,-445.284393,3787.694092,623.565063,-457.420166,,,,,,
1,0.004167,179.054169,14.444752,140.546188,3728.054688,633.377686,-299.300537,3715.967041,649.058411,-301.109192,3681.074951,591.408386,-340.230011,3742.338623,627.512756,-441.580231,3795.548096,622.699646,-453.370728,,,,,,
2,0.008333,179.355133,14.662557,139.705795,3735.093750,631.421448,-295.223816,3722.803467,647.043396,-296.822571,3688.855713,588.821167,-336.401093,3749.812744,626.072205,-437.641357,3803.300781,621.928833,-449.079285,,,,,,
3,0.012500,179.599319,14.833419,139.033691,3740.725830,629.854919,-291.960754,,,,,,,,,,,,,,,,,,
4,0.016667,179.599319,14.833419,139.033691,3740.725830,629.854919,-291.960754,,,,,,,,,,,,,,,,,,
5,0.020833,179.599319,14.833419,139.033691,3740.725830,629.854919,-291.960754,,,,,,,,,,,,,,,,,,
6,0.025000,179.599319,14.833419,139.033691,3740.725830,629.854919,-291.960754,,,,,,,,,,,,,,,,,,
7,0.029167,179.599319,14.833419,139.033691,3740.725830,629.854919,-291.960754,,,,,,,,,,,,,,,,,,
8,0.033333,179.599319,14.833419,139.033691,3740.725830,629.854919,-291.960754,,,,,,,,,,,,,,,,,,
