Format Version,1.24,Take Name,V4_roll45pitch45,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-15 12.07.48.946 PM,Capture Start Frame,85975,Total Frames in Take,1801,Total Exported Frames,1801,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider:Marker 001,V4Glider:Marker 001,V4Glider:Marker 001,V4Glider:Marker 002,V4Glider:Marker 002,V4Glider:Marker 002,V4Glider:Marker 003,V4Glider:Marker 003,V4Glider:Marker 003,V4Glider:Marker 004,V4Glider:Marker 004,V4Glider:Marker 004,V4Glider:Marker 005,V4Glider:Marker 005,V4Glider:Marker 005
,ID,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,"5AAEDD84FB4311EEBD9122A53CA86F8A","5AAEDD84FB4311EEBD9122A53CA86F8A","5AAEDD84FB4311EEBD9122A53CA86F8A","5AAEDD82FB4311EEBD9122A53CA86F8A","5AAEDD82FB4311EEBD9122A53CA86F8A","5AAEDD82FB4311EEBD9122A53CA86F8A","5AAEDD83FB4311EEBD9122A53CA86F8A","5AAEDD83FB4311EEBD9122A53CA86F8A","5AAEDD83FB4311EEBD9122A53CA86F8A","5AAEDD80FB4311EEBD9122A53CA86F8A","5AAEDD80FB4311EEBD9122A53CA86F8A","5AAEDD80FB4311EEBD9122A53CA86F8A","5AAEDD81FB4311EEBD9122A53CA86F8A","5AAEDD81FB4311EEBD9122A53CA86F8A","5AAEDD81FB4311EEBD9122A53CA86F8A"
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,8.049730,5.208377,3.945433,-1.669651,1.310751,0.296776,-1.637305,1.295018,0.396864,-1.711216,1.321061,0.151582,-1.846935,1.299006,0.335053,-1.672151,1.317860,0.299077,-1.669147,1.286785,0.443547
1,0.008333,7.835936,4.924949,3.687943,-1.671077,1.309536,0.294324,-1.639036,1.294058,0.394617,-1.712006,1.319409,0.148754,-1.848626,1.298859,0.331649,-1.673465,1.316657,0.296674,-1.671463,1.286164,0.441097
2,0.016667,7.723091,4.554648,3.389893,-1.672521,1.308307,0.291905,-1.641289,1.292658,0.392393,-1.712527,1.318172,0.146063,-1.850274,1.298684,0.328172,-1.674933,1.315379,0.294275,-1.673859,1.285375,0.438744
3,0.025000,7.539531,4.198790,3.016169,-1.673881,1.306891,0.289460,-1.643385,1.291457,0.390192,-1.712847,1.316445,0.143504,-1.851984,1.298804,0.324787,-1.676439,1.314015,0.291516,-1.675980,1.284462,0.436488
4,0.033333,7.419517,3.710985,2.481359,-1.675174,1.305372,0.287121,-1.645451,1.289976,0.388024,-1.713080,1.314917,0.140785,-1.853572,1.299207,0.321738,-1.677414,1.312610,0.289166,-1.678779,1.283299,0.434260
5,0.041667,7.146906,3.354521,2.028352,-1.676250,1.303824,0.284748,-1.647039,1.288815,0.386157,-1.713312,1.312856,0.138425,-1.854936,1.299418,0.318235,-1.678463,1.311033,0.286770,-1.680686,1.282600,0.431693
6,0.050000,6.671223,2.906385,1.247233,-1.677338,1.302158,0.282480,-1.649052,1.287793,0.383948,-1.713422,1.310350,0.135606,-1.856203,1.300763,0.315197,-1.679313,1.309469,0.284368,-1.683086,1.282302,0.429905
7,0.058333,6.046098,2.591109,0.523373,-1.678356,1.300566,0.280161,-1.650571,1.286906,0.382074,-1.713713,1.307465,0.133037,-1.857411,1.301872,0.311905,-1.680335,1.308018,0.282070,-1.684837,1.282574,0.427642
8,0.066667,5.376779,2.178901,-0.227514,-1.679540,1.299092,0.277874,-1.652834,1.286235,0.379992,-1.713816,1.304734,0.130472,-1.858475,1.303255,0.308317,-1.681765,1.306530,0.279656,-1.686996,1.283034,0.425629
9,0.075000,4.745560,1.640933,-1.013473,-1.680940,1.297498,0.275540,-1.655232,1.285479,0.377948,-1.714145,1.301888,0.127822,-1.859902,1.304594,0.304894,-1.682846,1.305215,0.277209,-1.690056,1.283126,0.423372
10,0.083333,4.263500,1.200230,-1.700573,-1.682432,1.296454,0.273413,-1.657417,1.285120,0.376217,-1.714710,1.300084,0.125628,-1.861386,1.306102,0.301737,-1.684294,1.304232,0.275145,-1.692720,1.283462,0.421105
11,0.091667,3.767617,0.835218,-2.333255,-1.683985,1.295597,0.271406,-1.659744,1.284814,0.374463,-1.715418,1.298276,0.123365,-1.863145,1.307484,0.298550,-1.685671,1.303556,0.272981,-1.695177,1.284069,0.419247
12,0.100000,3.345028,0.675636,-2.830648,-1.685879,1.294958,0.269519,-1.662136,1.284739,0.372665,-1.716926,1.296833,0.121217,-1.864952,1.308559,0.295414,-1.687588,1.302845,0.270984,-1.697350,1.284620,0.417639
13,0.108333,3.227631,0.496699,-3.288862,-1.687641,1.294561,0.267507,-1.664321,1.284271,0.370808,-1.718353,1.296513,0.119293,-1.866724,1.309662,0.293150,-1.689268,1.302490,0.269005,-1.699569,1.284597,0.415351
14,0.116667,3.265289,0.226024,-3.646079,-1.689764,1.294430,0.265762,-1.666479,1.283937,0.369200,-1.719781,1.296697,0.117510,-1.868752,1.310645,0.291023,-1.691441,1.302323,0.267367,-1.702679,1.284480,0.413485
15,0.125000,3.319415,0.163157,-3.845502,-1.691747,1.294527,0.264016,-1.668802,1.283955,0.367345,-1.721462,1.297014,0.115642,-1.871301,1.311393,0.288852,-1.693329,1.302311,0.265534,-1.704605,1.284494,0.411849
16,0.133333,3.433958,-0.062638,-4.178976,-1.693652,1.294452,0.262224,-1.671371,1.283476,0.365545,-1.723036,1.297431,0.113902,-1.871940,1.312237,0.286938,-1.695153,1.302389,0.263566,-1.707225,1.284135,0.409994
17,0.141667,3.448051,-0.145017,-4.184255,-1.695726,1.294577,0.260561,-1.673305,1.283686,0.364151,-1.724793,1.297468,0.112084,-1.874590,1.312493,0.284436,-1.697260,1.302197,0.261974,-1.709448,1.284264,0.408238
18,0.150000,3.377885,-0.319486,-4.248844,-1.697494,1.294746,0.258894,-1.675323,1.284033,0.362465,-1.726132,1.297487,0.110301,-1.876264,1.312995,0.282337,-1.699059,1.302393,0.260258,-1.711784,1.284618,0.406546
19,0.158333,3.235384,-0.614949,-4.304575,-1.699474,1.294763,0.257242,-1.678076,1.283836,0.360875,-1.727187,1.297145,0.108311,-1.878331,1.313032,0.279341,-1.701154,1.302477,0.258599,-1.714471,1.285243,0.404981
