Format Version,1.24,Take Name,V4_throw_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-22 08.22.47.673 PM,Capture Start Frame,-2147483648,Total Frames in Take,354,Total Exported Frames,354,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider:Marker 001,V4Glider:Marker 001,V4Glider:Marker 001,V4Glider:Marker 002,V4Glider:Marker 002,V4Glider:Marker 002,V4Glider:Marker 003,V4Glider:Marker 003,V4Glider:Marker 003,V4Glider:Marker 004,V4Glider:Marker 004,V4Glider:Marker 004,V4Glider:Marker 005,V4Glider:Marker 005,V4Glider:Marker 005
,ID,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,"B5F4586A010711EFBD9122A53CA87A8A","B5F4586A010711EFBD9122A53CA87A8A","B5F4586A010711EFBD9122A53CA87A8A","B5F45868010711EFBD9122A53CA87A8A","B5F45868010711EFBD9122A53CA87A8A","B5F45868010711EFBD9122A53CA87A8A","B5F45869010711EFBD9122A53CA87A8A","B5F45869010711EFBD9122A53CA87A8A","B5F45869010711EFBD9122A53CA87A8A","B5F45866010711EFBD9122A53CA87A8A","B5F45866010711EFBD9122A53CA87A8A","B5F45866010711EFBD9122A53CA87A8A","B5F45867010711EFBD9122A53CA87A8A","B5F45867010711EFBD9122A53CA87A8A","B5F45867010711EFBD9122A53CA87A8A"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
1,0.008333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
2,0.016667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
3,0.025000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
4,0.033333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
5,0.041667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
6,0.050000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
7,0.058333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
8,0.066667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
9,0.075000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
10,0.083333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
11,0.091667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
12,0.100000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
13,0.108333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
14,0.116667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
15,0.125000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
16,0.133333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
17,0.141667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
18,0.150000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
19,0.158333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
20,0.166667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
21,0.175000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
22,0.183333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
23,0.191667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
24,0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
25,0.208333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
26,0.216667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
27,0.225000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
28,0.233333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
29,0.241667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
30,0.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
31,0.258333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
32,0.266667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
33,0.275000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
34,0.283333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
35,0.291667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
36,0.300000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
37,0.308333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
38,0.316667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
39,0.325000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
40,0.333333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
41,0.341667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
42,0.350000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
