Format Version,1.24,Take Name,pink_stall2,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-04-09 06.02.06.360 PM,Capture Start Frame,7446908,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider:M0,V3Glider:M0,V3Glider:M0,V3Glider:M1,V3Glider:M1,V3Glider:M1,V3Glider:M2,V3Glider:M2,V3Glider:M2,V3Glider:M3,V3Glider:M3,V3Glider:M3,V3Glider:M4,V3Glider:M4,V3Glider:M4,V3Glider:M5,V3Glider:M5,V3Glider:M5
,ID,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,"CD48A87FF6BC11EEBD9122A53CA8688A","CD48A87FF6BC11EEBD9122A53CA8688A","CD48A87FF6BC11EEBD9122A53CA8688A","CD48A87DF6BC11EEBD9122A53CA8688A","CD48A87DF6BC11EEBD9122A53CA8688A","CD48A87DF6BC11EEBD9122A53CA8688A","CD48A87CF6BC11EEBD9122A53CA8688A","CD48A87CF6BC11EEBD9122A53CA8688A","CD48A87CF6BC11EEBD9122A53CA8688A","CD48A881F6BC11EEBD9122A53CA8688A","CD48A881F6BC11EEBD9122A53CA8688A","CD48A881F6BC11EEBD9122A53CA8688A","CD48A880F6BC11EEBD9122A53CA8688A","CD48A880F6BC11EEBD9122A53CA8688A","CD48A880F6BC11EEBD9122A53CA8688A","CD48A87EF6BC11EEBD9122A53CA8688A","CD48A87EF6BC11EEBD9122A53CA8688A","CD48A87EF6BC11EEBD9122A53CA8688A"
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.968206,-0.777090,34.923569,-2433.988770,1509.315063,29.771261,-2445.191650,1526.482544,32.075520,-2382.868164,1549.294800,60.371613,-2427.239502,1523.666504,168.702103,-2435.119873,1480.004639,194.873245,-2432.289062,1474.936646,-127.562256,-2419.332764,1522.917236,-99.280785
1,0.004167,0.950261,-0.761804,34.959782,-2433.845947,1509.265259,29.554277,-2445.057129,1526.442383,31.908106,-2382.759033,1549.287720,60.170021,-2427.047852,1523.654663,168.498917,-2434.942871,1479.991699,194.715942,-2432.140869,1474.891602,-127.767563,-2419.230469,1522.761597,-99.634041
2,0.008333,0.950080,-0.750465,34.945560,-2433.718750,1509.248169,29.376877,-2444.926025,1526.420288,31.731895,-2382.624268,1549.285156,59.997601,-2426.865723,1523.630615,168.313324,-2434.778809,1480.002441,194.524445,-2432.083984,1474.826416,-128.000839,-2419.100830,1522.811768,-99.698647
3,0.012500,0.943939,-0.722860,34.940662,-2433.623779,1509.214722,29.179239,-2444.830566,1526.387085,31.549271,-2382.506348,1549.292969,59.810184,-2426.711914,1523.644287,168.078506,-2434.571533,1479.979980,194.349152,-2432.113770,1474.729248,-128.260437,-2419.008789,1522.801025,-99.865753
4,0.016667,0.941005,-0.706071,34.946247,-2433.489990,1509.192627,28.975056,-2444.678467,1526.352905,31.276331,-2382.371094,1549.271729,59.628422,-2426.571533,1523.624512,167.814697,-2434.366943,1479.984863,194.184372,-2432.020020,1474.694458,-128.464951,-2418.904541,1522.777344,-100.051483
5,0.020833,0.946867,-0.690983,34.958080,-2433.357178,1509.174561,28.788904,-2444.541260,1526.315186,31.073030,-2382.218506,1549.263306,59.445808,-2426.387695,1523.607544,167.617432,-2434.168213,1479.974365,193.921371,-2431.912598,1474.697266,-128.628052,-2418.821289,1522.777954,-100.241104
